trade_id,trade_date,entry_datetime,ticker,sector,market_regime,rsi_14,morning_score,confirmation_score,confirmation_band,earnings_date,sessions_to_earnings,earnings_status,confirmation_components,entry_volume,bid,ask,bid_ask_spread_pct,quote_source,spread_proxy_pct,quoted_entry_price,entry_price,initial_cost,initial_risk,shares,remaining_shares,status,current_price,target_10,target_20,target_30,stop_8,exit_datetime,exit_price,exit_reason,realized_proceeds,realized_p_l,shares_sold_10,shares_sold_20,shares_sold_30,shares_sold_protect,shares_sold_stop,shares_sold_time,target_10_hit_at,target_20_hit_at,target_30_hit_at,last_evaluated_at,corporate_action_factor,last_corporate_action_at,data_failure_count,review_flag,holding_days,last_updated
2026-06-25-OPTU,2026-06-25,2026-06-25T09:45:00-04:00,OPTU,Communication Services,MIXED,76.6,0,40,B,,,NOT CHECKED,"controlled daily move, above 20SMA, above 50SMA, prior accumulation, penalty: weekly move >18%, penalty: RSI >75 | above open, above prior close, above VWAP, broke first 15m high",1879622,1.61,1.62,0.619,LIVE BID/ASK,4.79,1.67,1.6216199999999998,162.16199999999998,12.97296,100,0,CLOSED,1.5199999809265137,1.783782,1.9459439999999997,2.108106,1.4918904,2026-06-26T09:40:00-04:00,1.4903985096,STOP -8%,149.03985096,-13.122149039999996,0,0,0,0,100,0,,,,2026-06-26T09:40:00-04:00,1.0,,0,,2,2026-06-26T16:15:53-04:00
2026-06-25-OLPX,2026-06-25,2026-06-25T09:45:00-04:00,OLPX,Consumer Cyclical,MIXED,57.2,44,40,B,2026-08-06,29.0,CLEAR,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, manageable downside | above open, above prior close, above VWAP, not overextended",974564,2.04,2.06,0.976,LIVE BID/ASK,0.238,2.055,2.06206,206.206,16.49648,100,100,OPEN,2.0399999618530273,2.268266,2.4744719999999996,2.680678,1.8970952,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-STWD,2026-06-25,2026-06-25T09:45:00-04:00,STWD,Real Estate,MIXED,43.7,26,40,B,,,NOT CHECKED,"early weekly momentum, controlled daily move, near 20-day breakout, manageable downside | above open, above prior close, above VWAP, not overextended",295517,16.7,16.72,0.12,LIVE BID/ASK,0.418,16.755,16.73672,1673.6719999999998,133.89376,100,100,OPEN,16.815000534057617,18.410392,20.084064,21.757736,15.3977824,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-DNA,2026-06-25,2026-06-25T09:45:00-04:00,DNA,Healthcare,MIXED,61.0,31,40,B,,,NOT CHECKED,"controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout | above open, above prior close, above VWAP, not overextended",271710,10.16,10.21,0.491,LIVE BID/ASK,4.505,10.21,10.22021,1022.021,81.76168,100,0,CLOSED,9.813899993896484,11.242231,12.264252,13.286273,9.4025932,2026-06-26T09:30:00-04:00,9.34065038108826,STOP -8%,934.0650381088257,-87.95596189117435,0,0,0,0,100,0,,,,2026-06-26T09:30:00-04:00,1.0,,0,,2,2026-06-26T16:15:53-04:00
2026-06-25-QXO,2026-06-25,2026-06-25T09:45:00-04:00,QXO,Industrials,MIXED,57.3,39,40,B,2026-05-12,-30.0,CLEAR,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, near 20-day breakout, prior accumulation | above open, above prior close, above VWAP, not overextended",2631180,17.52,17.54,0.114,LIVE BID/ASK,1.984,17.645,17.557539999999996,1755.7539999999997,140.46031999999997,100,100,OPEN,17.795000076293945,19.313293999999996,21.069047999999995,22.824801999999995,16.152936799999996,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-ARR,2026-06-25,2026-06-25T09:45:00-04:00,ARR,Real Estate,MIXED,48.6,39,50,A,2026-04-22,-44.0,CLEAR,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, near 20-day breakout, manageable downside | above open, above prior close, above VWAP, broke first 15m high, not overextended",151458,17.13,17.14,0.058,LIVE BID/ASK,0.263,17.095,17.15714,1715.714,137.25712,100,100,OPEN,17.25,18.872854,20.588568,22.304281999999997,15.7845688,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-EFC,2026-06-25,2026-06-25T09:45:00-04:00,EFC,Real Estate,MIXED,54.9,49,50,A,2026-05-05,-35.0,CLEAR,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, manageable downside | above open, above prior close, above VWAP, broke first 15m high, not overextended",124342,13.67,13.68,0.073,LIVE BID/ASK,0.399,13.8,13.69368,1369.368,109.54944,100,100,OPEN,13.5649995803833,15.063048,16.432415999999996,17.801783999999998,12.5981856,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-RITM,2026-06-25,2026-06-25T09:45:00-04:00,RITM,Real Estate,MIXED,55.6,39,50,A,2026-07-28,22.0,CLEAR,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, near 20-day breakout, manageable downside | above open, above prior close, above VWAP, broke first 15m high, not overextended",474613,9.34,9.35,0.107,LIVE BID/ASK,0.268,9.32,9.35935,935.935,74.8748,100,100,OPEN,9.375,10.295285,11.23122,12.167155,8.610602,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-BFLY,2026-06-25,2026-06-25T09:45:00-04:00,BFLY,Healthcare,MIXED,69.1,17,40,B,,,NOT CHECKED,"controlled daily move, healthy RSI, above 20SMA, above 50SMA, prior accumulation, penalty: weekly move >18% | above open, above prior close, above VWAP, not overextended",645685,8.07,8.11,0.494,LIVE BID/ASK,1.873,8.01,8.118109999999998,811.8109999999998,64.94487999999998,100,100,OPEN,8.880000114440918,8.929920999999998,9.741731999999995,10.553542999999998,7.468661199999999,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-BKD,2026-06-25,2026-06-25T09:45:00-04:00,BKD,Healthcare,MIXED,82.1,20,40,B,,,NOT CHECKED,"early weekly momentum, controlled daily move, above 20SMA, above 50SMA, prior accumulation, penalty: RSI >75 | above open, above prior close, above VWAP, not overextended",312646,15.13,15.15,0.132,LIVE BID/ASK,0.909,14.855,15.16515,1516.515,121.3212,100,100,OPEN,15.6850004196167,16.681665,18.198179999999997,19.714695,13.951938,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-CAG,2026-06-25,2026-06-25T09:45:00-04:00,CAG,Consumer Defensive,MIXED,68.8,49,40,B,2026-07-15,13.0,CLEAR,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, manageable downside | above open, above prior close, above VWAP, not overextended",1346924,13.8,13.82,0.145,LIVE BID/ASK,0.43,13.94,13.83382,1383.3819999999998,110.67056,100,100,OPEN,14.0649995803833,15.217202,16.600583999999998,17.983966,12.7271144,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
2026-06-25-KSS,2026-06-25,2026-06-25T09:45:00-04:00,KSS,Consumer Cyclical,MIXED,69.9,24,40,B,,,NOT CHECKED,"controlled daily move, healthy RSI, above 20SMA, above 50SMA | above open, above prior close, above VWAP, not overextended",452747,19.3,19.32,0.104,LIVE BID/ASK,1.138,19.325,19.339319999999997,1933.932,154.71455999999998,100,100,OPEN,19.174999237060547,21.273252,23.20718399999999,25.141115999999997,17.792174399999997,,,,0.0,0.0,0,0,0,0,0,0,,,,2026-06-26T15:55:00-04:00,1.0,,1,,2,2026-06-26T16:15:53-04:00
